# https://wikirate.org/MSA_Beyond_Compliance_Dashboard?filter[company_group]=MSA Food Beverage,,,,,
# Creative Commons Attribution-ShareAlike 4.0 International License,,,,,
# Last updated at: 2023-05-11 15:26:50 UTC,,,,,
# ,,,,,
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+TEYS_AUSTRALIA_PTY_LTD+2023,Business & Human Rights Resource Centre+Modern Slavery Statement,TEYS AUSTRALIA PTY LTD,2023,Yes - Australian Modern Slavery Act,https://wikirate.org/Source-000162963
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+MSA statement homepage link,TEYS AUSTRALIA PTY LTD,2023,No,
https://wikirate.org/Walk_Free+MSA_registry_submission+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+MSA registry submission,TEYS AUSTRALIA PTY LTD,2023,Australian Registry submission,"https://wikirate.org/Source-000162963, https://wikirate.org/Source-000177813"
https://wikirate.org/Walk_Free+Hospitality_Sector+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+Hospitality Sector,TEYS AUSTRALIA PTY LTD,2023,No,
https://wikirate.org/Walk_Free+Financial_Services_Sector+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+Financial Services Sector,TEYS AUSTRALIA PTY LTD,2023,No,
https://wikirate.org/Walk_Free+Garment_Sector+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+Garment Sector,TEYS AUSTRALIA PTY LTD,2023,No,
https://wikirate.org/Walk_Free+MSA_statement_assessed+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+MSA statement assessed,TEYS AUSTRALIA PTY LTD,2023,No,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+Meets Minimum UK MSA Requirements,TEYS AUSTRALIA PTY LTD,2023,No - but non-UK statement,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+TEYS_AUSTRALIA_PTY_LTD+2023,Walk Free+Meets Minimum Australian MSA Requirements,TEYS AUSTRALIA PTY LTD,2023,Unknown,
https://wikirate.org/Walk_Free+MSA_Policy_grouped+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+MSA Policy (grouped),UNILEVER AUSTRALIA GROUP PTY LTD,2022,Direct Supply Chain,
https://wikirate.org/Walk_Free+MSA_statement_assessed+Petstock_Pty_Ltd+2022,Walk Free+MSA statement assessed,Petstock Pty Ltd,2022,No,
https://wikirate.org/Walk_Free+Company_size+Koch_Fertiliser_Australia_Pty_Ltd+2022,Walk Free+Company size,Koch Fertiliser Australia Pty Ltd,2022,Small,
https://wikirate.org/Walk_Free+Company_size+HILTON_FOODS_AUSTRALIA_PTY_LIMITED+2022,Walk Free+Company size,HILTON FOODS AUSTRALIA PTY LIMITED,2022,Large,
https://wikirate.org/Walk_Free+Company_size+RG_RESTAURANTS_PTY_LTD+2022,Walk Free+Company size,RG RESTAURANTS PTY. LTD.,2022,Small,
https://wikirate.org/Walk_Free+Company_size+KELLOGG_AUST_PTY_LTD+2022,Walk Free+Company size,KELLOGG (AUST.) PTY. LTD.,2022,Medium,
https://wikirate.org/Walk_Free+Garment_Sector+Petstock_Pty_Ltd+2022,Walk Free+Garment Sector,Petstock Pty Ltd,2022,No,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+Petstock_Pty_Ltd+2022,Walk Free+Meets Minimum UK MSA Requirements,Petstock Pty Ltd,2022,No - but non-UK statement,
https://wikirate.org/Walk_Free+Company_size+AUSTRAL_FISHERIES_PTY_LTD+2022,Walk Free+Company size,AUSTRAL FISHERIES PTY LTD,2022,Small,
https://wikirate.org/Walk_Free+Company_size+THE_REJECT_SHOP_LIMITED+2022,Walk Free+Company size,THE REJECT SHOP LIMITED,2022,Medium,
https://wikirate.org/Walk_Free+Company_size+ORIENTAL_MERCHANT_PTY_LTD+2022,Walk Free+Company size,ORIENTAL MERCHANT PTY. LTD.,2022,Unknown,
https://wikirate.org/Walk_Free+Company_size+SYDNEY_FISH_MARKET_PTY_LTD+2022,Walk Free+Company size,SYDNEY FISH MARKET PTY LTD,2022,Small,
https://wikirate.org/Walk_Free+Company_size+NESTLE_AUSTRALIA_LTD+2022,Walk Free+Company size,NESTLE AUSTRALIA LTD,2022,Large,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Petstock_Pty_Ltd+2022,Walk Free+Financial Services Sector,Petstock Pty Ltd,2022,No,
https://wikirate.org/Walk_Free+Company_size+BROWNES_FOODS_OPERATIONS_PTY_LIMITED+2022,Walk Free+Company size,BROWNES FOODS OPERATIONS PTY LIMITED,2022,Small,
https://wikirate.org/Walk_Free+Company_size+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Company size,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,Large,
https://wikirate.org/Walk_Free+Company_size+SUMMIT_RURAL_WA_PTY_LIMITED+2022,Walk Free+Company size,SUMMIT RURAL (WA) PTY LIMITED,2022,Medium,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+CHEETHAM_SALT_LIMITED+2022,Walk Free+Meets Minimum Australian MSA Requirements,CHEETHAM SALT LIMITED,2022,Unknown,
https://wikirate.org/Walk_Free+Company_size+RITCHIES_STORES_PROPRIETARY_LIMITED+2022,Walk Free+Company size,RITCHIES STORES PROPRIETARY LIMITED,2022,Large,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+Petstock_Pty_Ltd+2022,Walk Free+Meets Minimum Australian MSA Requirements,Petstock Pty Ltd,2022,Unknown,
https://wikirate.org/Walk_Free+Hospitality_Sector+Petstock_Pty_Ltd+2022,Walk Free+Hospitality Sector,Petstock Pty Ltd,2022,No,
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+PABLO_RUSTY_S_PTY_LTD+2022,Business & Human Rights Resource Centre+Modern Slavery Statement,PABLO & RUSTY'S PTY LTD,2022,Yes - Australian Modern Slavery Act,https://wikirate.org/Source-000167539
https://wikirate.org/Walk_Free+Company_size+IX_INFRASTRUCTURE_PTY_LTD+2022,Walk Free+Company size,IX INFRASTRUCTURE PTY LTD,2022,Large,
https://wikirate.org/Walk_Free+Company_size+Petstock_Pty_Ltd+2022,Walk Free+Company size,Petstock Pty Ltd,2022,Medium,
https://wikirate.org/Walk_Free+MSA_registry_submission+PABLO_RUSTY_S_PTY_LTD+2022,Walk Free+MSA registry submission,PABLO & RUSTY'S PTY LTD,2022,Australian Registry submission,"https://wikirate.org/Source-000167539, https://wikirate.org/Source-000177813"
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+CHEETHAM_SALT_LIMITED+2022,Business & Human Rights Resource Centre+Modern Slavery Statement,CHEETHAM SALT LIMITED,2022,Yes - Australian Modern Slavery Act,https://wikirate.org/Source-000163176
