# https://wikirate.org/MSA_Beyond_Compliance_Dashboard?filter[company_group]=MSA Hospitality,,,,,
# Creative Commons Attribution-ShareAlike 4.0 International License,,,,,
# Last updated at: 2023-05-11 15:33:54 UTC,,,,,
# ,,,,,
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+HIC_FIRST_LLC+2022,Walk Free+Meets Minimum Australian MSA Requirements,HIC FIRST LLC,2022,Unknown,
https://wikirate.org/Walk_Free+Hospitality_Sector+COSTA_LIMITED+2022,Walk Free+Hospitality Sector,COSTA LIMITED,2022,Yes,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COSTA_LIMITED+2022,Walk Free+Financial Services Sector,COSTA LIMITED,2022,No,
https://wikirate.org/Walk_Free+Company_size+COSTA_LIMITED+2022,Walk Free+Company size,COSTA LIMITED,2022,Large,
https://wikirate.org/Walk_Free+Garment_Sector+COSTA_LIMITED+2022,Walk Free+Garment Sector,COSTA LIMITED,2022,No,
https://wikirate.org/Walk_Free+Company_size+MELBOURNE_CRICKET_CLUB+2022,Walk Free+Company size,MELBOURNE CRICKET CLUB,2022,Small,
https://wikirate.org/Walk_Free+MSA_statement_assessed+COSTA_LIMITED+2022,Walk Free+MSA statement assessed,COSTA LIMITED,2022,No,
https://wikirate.org/Walk_Free+MSA_registry_submission+COSTA_LIMITED+2022,Walk Free+MSA registry submission,COSTA LIMITED,2022,UK Registry submission,https://wikirate.org/Source-000162626
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+COSTA_LIMITED+2022,Walk Free+Meets Minimum UK MSA Requirements,COSTA LIMITED,2022,No,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+COSTA_LIMITED+2022,Walk Free+Meets Minimum Australian MSA Requirements,COSTA LIMITED,2022,Unknown,
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+COSTA_LIMITED+2022,Walk Free+MSA statement homepage link,COSTA LIMITED,2022,No,
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+COSTA_LIMITED+2022,Business & Human Rights Resource Centre+Modern Slavery Statement,COSTA LIMITED,2022,Yes - UK Modern Slavery Act,https://wikirate.org/Source-000162626
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+CASIO_ELECTRONICS_CO_LIMITED+2022,Walk Free+Meets Minimum Australian MSA Requirements,CASIO ELECTRONICS CO. LIMITED,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+Tourism_Australia+2022,Walk Free+Meets Minimum Australian MSA Requirements,Tourism Australia,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+CASIO_ELECTRONICS_CO_LIMITED+2022,Walk Free+Meets Minimum UK MSA Requirements,CASIO ELECTRONICS CO. LIMITED,2022,No,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+Tourism_Australia+2022,Walk Free+Meets Minimum UK MSA Requirements,Tourism Australia,2022,No - but non-UK statement,
