# https://wikirate.org/MSA_Beyond_Compliance_Dashboard?filter[company_group]=MSA Garment,,,,,
# Creative Commons Attribution-ShareAlike 4.0 International License,,,,,
# Last updated at: 2023-05-11 15:21:16 UTC,,,,,
# ,,,,,
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Meets Minimum Australian MSA Requirements,SALVATION ARMY TRADING COMPANY LIMITED,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Meets Minimum UK MSA Requirements,SALVATION ARMY TRADING COMPANY LIMITED,2022,No,
https://wikirate.org/Walk_Free+Garment_Sector+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Garment Sector,SALVATION ARMY TRADING COMPANY LIMITED,2022,Yes,
https://wikirate.org/Walk_Free+Financial_Services_Sector+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Financial Services Sector,SALVATION ARMY TRADING COMPANY LIMITED,2022,No,
https://wikirate.org/Walk_Free+Hospitality_Sector+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Hospitality Sector,SALVATION ARMY TRADING COMPANY LIMITED,2022,No,
https://wikirate.org/Walk_Free+Company_size+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+Company size,SALVATION ARMY TRADING COMPANY LIMITED,2022,Small,
https://wikirate.org/Walk_Free+MSA_registry_submission+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Walk Free+MSA registry submission,SALVATION ARMY TRADING COMPANY LIMITED,2022,UK Registry submission,https://wikirate.org/Source-000169836
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+SALVATION_ARMY_TRADING_COMPANY_LIMITED+2022,Business & Human Rights Resource Centre+Modern Slavery Statement,SALVATION ARMY TRADING COMPANY LIMITED,2022,Yes - UK Modern Slavery Act,https://wikirate.org/Source-000169836
https://wikirate.org/Walk_Free+Company_size+Hennes_Mauritz_Pty_Ltd+2022,Walk Free+Company size,Hennes & Mauritz Pty Ltd,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+J_Barbour_Sons_Ltd+2022,Walk Free+Meets Minimum Australian MSA Requirements,J. Barbour & Sons Ltd,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+J_Barbour_Sons_Ltd+2022,Walk Free+Meets Minimum UK MSA Requirements,J. Barbour & Sons Ltd,2022,No,
https://wikirate.org/Walk_Free+Garment_Sector+J_Barbour_Sons_Ltd+2022,Walk Free+Garment Sector,J. Barbour & Sons Ltd,2022,Yes,
https://wikirate.org/Walk_Free+Financial_Services_Sector+J_Barbour_Sons_Ltd+2022,Walk Free+Financial Services Sector,J. Barbour & Sons Ltd,2022,No,
https://wikirate.org/Walk_Free+Hospitality_Sector+J_Barbour_Sons_Ltd+2022,Walk Free+Hospitality Sector,J. Barbour & Sons Ltd,2022,No,
https://wikirate.org/Walk_Free+Company_size+J_Barbour_Sons_Ltd+2022,Walk Free+Company size,J. Barbour & Sons Ltd,2022,Medium,
https://wikirate.org/Walk_Free+MSA_registry_submission+J_Barbour_Sons_Ltd+2022,Walk Free+MSA registry submission,J. Barbour & Sons Ltd,2022,UK Registry submission,https://wikirate.org/Source-000169777
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+J_Barbour_Sons_Ltd+2022,Business & Human Rights Resource Centre+Modern Slavery Statement,J. Barbour & Sons Ltd,2022,Yes - UK Modern Slavery Act,https://wikirate.org/Source-000169777
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+Mothercare_plc+2022,Walk Free+Meets Minimum Australian MSA Requirements,Mothercare plc,2022,Unknown,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+Mothercare_plc+2022,Walk Free+Meets Minimum UK MSA Requirements,Mothercare plc,2022,No,
https://wikirate.org/Walk_Free+Garment_Sector+Mothercare_plc+2022,Walk Free+Garment Sector,Mothercare plc,2022,Yes,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Mothercare_plc+2022,Walk Free+Financial Services Sector,Mothercare plc,2022,No,
https://wikirate.org/Walk_Free+Hospitality_Sector+Mothercare_plc+2022,Walk Free+Hospitality Sector,Mothercare plc,2022,No,
https://wikirate.org/Walk_Free+Company_size+Mothercare_plc+2022,Walk Free+Company size,Mothercare plc,2022,Small,
